iter	Logloss
0	0.6696135575
1	0.6436431519
2	0.622663137
3	0.6041252036
4	0.5866635134
5	0.5671192825
6	0.5475858289
7	0.5297738061
8	0.5128339033
9	0.5004607496
10	0.4861919454
11	0.4709183515
12	0.4601407229
13	0.4481894727
14	0.4375245347
15	0.4277889719
16	0.4167008908
17	0.4072129179
18	0.3973002749
19	0.3887917351
20	0.378408141
21	0.3694067747
22	0.3596175996
23	0.3532663777
24	0.3468769937
25	0.3412655897
26	0.3351187233
27	0.3280989617
28	0.3221511421
29	0.3164594165
30	0.3111971891
31	0.3059961588
32	0.300864504
33	0.2975201771
34	0.2915818261
35	0.2864287019
36	0.281673699
37	0.2777392209
38	0.2749714022
39	0.2713813875
40	0.2676012741
41	0.2637141128
42	0.2605047672
43	0.2576286097
44	0.2541127871
45	0.2509035597
46	0.2479903518
47	0.2450673603
48	0.2433193409
49	0.2411333126
50	0.2393531169
51	0.2374099549
52	0.2358750939
53	0.2338138058
54	0.2313887109
55	0.2292860147
56	0.2273722051
57	0.2257750079
58	0.2241878921
59	0.2228504313
60	0.2208852345
61	0.2194868131
62	0.2179512027
63	0.2164096547
64	0.215142267
65	0.2135707714
66	0.2121123236
67	0.2104273449
68	0.2091612863
69	0.2079718639
70	0.2068030543
71	0.2054161996
72	0.2042439753
73	0.2030679357
74	0.2019789294
75	0.2011386256
76	0.1999925039
77	0.1992432536
78	0.1982925323
79	0.1975683865
80	0.1964034602
81	0.1951651743
82	0.1941223308
83	0.1931696201
84	0.1925619191
85	0.1916913312
86	0.1908703301
87	0.1898236288
88	0.1888289044
89	0.1879817573
90	0.1870484386
91	0.1862729703
92	0.1855939715
93	0.1850454018
94	0.1842532193
95	0.1837847782
96	0.1830581358
97	0.1822501712
98	0.1814250556
99	0.1806210659
100	0.1799878753
101	0.1793087806
102	0.1787671373
103	0.1781772293
104	0.1776931837
105	0.1770933747
106	0.1766859783
107	0.1762558935
108	0.1756356141
109	0.174906677
110	0.174484277
111	0.1740530951
112	0.1735539012
113	0.1730373004
114	0.172409845
115	0.1718849657
116	0.1714732876
117	0.1708719226
118	0.1703723277
119	0.1696916343
120	0.1691987328
121	0.1686670042
122	0.1682788371
123	0.1682163205
124	0.1677256886
125	0.1671901194
126	0.1668767145
127	0.1663027153
128	0.16596011
129	0.1656077427
130	0.1651897608
131	0.1648810448
132	0.1644393562
133	0.1640998303
134	0.1638076548
135	0.1634681575
136	0.1631581027
137	0.1626744876
138	0.1623683319
139	0.1620731301
140	0.161885482
141	0.1615930393
142	0.161145496
143	0.1608767851
144	0.1606022535
145	0.1602874343
146	0.160003234
