iter	Passed	Remaining
0	20	20530
1	25	12536
2	29	9829
3	36	9084
4	40	8118
5	48	8068
6	54	7672
7	58	7273
8	65	7188
9	70	6962
10	75	6776
11	81	6740
12	86	6563
13	91	6458
14	98	6467
15	103	6337
16	109	6331
17	116	6363
18	122	6309
19	131	6423
20	136	6348
21	141	6271
22	148	6299
23	152	6221
24	157	6140
25	164	6162
26	172	6229
27	181	6311
28	187	6286
29	196	6347
30	202	6339
31	211	6389
32	218	6394
33	226	6425
34	234	6455
35	244	6534
36	250	6513
37	259	6562
38	270	6654
39	278	6695
40	285	6667
41	296	6755
42	310	6916
43	317	6893
44	329	6999
45	340	7054
46	347	7050
47	356	7061
48	363	7046
49	374	7114
50	387	7202
51	394	7185
52	400	7155
53	412	7227
54	421	7244
55	428	7227
56	437	7241
57	444	7215
58	454	7242
59	461	7225
60	477	7345
61	487	7382
62	496	7385
63	506	7401
64	512	7374
65	524	7416
66	530	7389
67	539	7399
68	555	7490
69	562	7474
70	571	7480
71	579	7467
72	588	7473
73	599	7495
74	606	7482
75	624	7595
76	634	7601
77	640	7572
78	650	7581
79	675	7772
80	682	7745
81	698	7819
82	707	7817
83	720	7861
84	727	7833
85	736	7832
86	743	7802
87	749	7770
88	758	7769
89	769	7781
90	776	7759
91	786	7763
92	793	7734
93	805	7761
94	831	7920
95	838	7896
96	844	7865
97	854	7865
98	860	7835
99	869	7829
100	881	7844
101	887	7816
102	897	7817
103	904	7792
104	915	7806
105	932	7865
106	939	7837
107	950	7849
108	969	7928
109	979	7924
110	991	7940
111	1000	7933
112	1006	7902
113	1035	8049
114	1044	8041
115	1051	8015
116	1060	8006
117	1069	7995
118	1079	7988
119	1085	7962
120	1094	7949
121	1100	7921
122	1115	7950
123	1118	7900
124	1128	7898
125	1134	7870
126	1144	7870
127	1166	7946
128	1175	7940
129	1182	7912
130	1191	7901
131	1197	7873
132	1216	7929
133	1240	8019
134	1247	7994
135	1256	7983
136	1263	7959
137	1274	7964
138	1293	8013
139	1300	7991
140	1309	7977
141	1322	7988
142	1330	7972
143	1341	7972
144	1347	7947
145	1359	7952
146	1368	7941
147	1376	7922
148	1392	7955
149	1404	7957
150	1413	7948
151	1422	7934
152	1428	7908
153	1438	7899
154	1455	7933
155	1461	7907
156	1470	7894
157	1475	7865
158	1487	7868
159	1493	7842
160	1502	7829
161	1509	7808
162	1518	7796
163	1528	7791
164	1534	7767
165	1545	7765
166	1553	7746
167	1563	7742
168	1572	7730
169	1581	7720
170	1590	7708
171	1598	7693
172	1609	7693
173	1617	7679
174	1629	7681
175	1635	7657
176	1645	7651
177	1658	7659
178	1666	7643
179	1675	7634
180	1681	7610
181	1690	7597
182	1700	7590
183	1712	7594
184	1724	7595
185	1729	7570
186	1738	7558
187	1755	7582
188	1763	7568
189	1772	7557
190	1778	7533
191	1787	7524
192	1798	7521
193	1807	7510
194	1814	7490
195	1823	7480
196	1834	7476
197	1840	7455
198	1851	7452
199	1868	7472
200	1875	7454
201	1885	7450
202	1891	7426
203	1896	7399
204	1901	7375
205	1907	7353
206	1915	7338
207	1920	7311
208	1924	7283
209	1931	7267
210	1936	7240
211	1941	7217
212	1948	7200
213	1952	7173
214	1963	7168
215	1967	7142
216	1972	7116
217	1978	7098
218	1987	7087
219	1994	7070
220	1998	7045
221	2003	7022
222	2010	7005
223	2015	6981
224	2019	6957
225	2026	6941
226	2030	6912
227	2034	6889
228	2039	6865
